City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,gunjur,13.2019,-16.7339,22.04,73,0,2.57,GM,1682317316
302,lichinga,-13.3128,35.2406,19.05,88,75,4.12,MZ,1682317316
303,yekaterinoslavka,50.3734,129.1139,8.97,18,4,7.61,RU,1682317317
304,ancud,-41.8697,-73.8203,7.11,88,2,1.41,CL,1682317318
305,san martin,-33.081,-68.4681,13.3,68,48,2.99,AR,1682317318
306,wajir,1.7471,40.0573,28.47,68,86,4.6,KE,1682317318
307,suwayr,30.1171,40.3893,25.52,50,99,8.59,SA,1682317318
308,banda aceh,5.5577,95.3222,30.53,67,80,3.77,ID,1682317319
309,vilyuysk,63.7553,121.6247,0.14,89,19,4.61,RU,1682317319
310,governador valadares,-18.8511,-41.9494,21.25,75,100,0.1,BR,1682317319
311,karratha,-20.7377,116.8463,31.08,41,15,5.75,AU,1682317319
312,mont-joli,48.5839,-68.1921,3.72,81,75,4.63,CA,1682317320
313,mulayjah,27.271,48.4242,32.9,25,84,2.6,SA,1682317320
314,apolinario saravia,-24.4328,-63.9954,14.89,95,98,4.89,AR,1682317320
315,westport,41.1415,-73.3579,10.44,89,20,2.06,US,1682317321
316,saint-pierre,-21.3393,55.4781,29.2,65,20,2.57,RE,1682317321
317,ambovombe,-25.1667,46.0833,24.8,62,47,6.32,MG,1682317321
318,kodinsk,58.6881,99.1844,8.0,60,100,4.17,RU,1682317322
319,abadeh,31.1608,52.6506,17.2,38,11,0.84,IR,1682317322
320,tazovsky,67.4667,78.7,0.35,98,100,10.33,RU,1682317322
321,macenta,8.5435,-9.471,20.56,100,34,0.69,GN,1682317323
322,basco,20.4487,121.9702,25.46,70,57,4.71,PH,1682317323
323,mjolby,58.326,15.1237,6.17,83,68,1.73,SE,1682317323
324,lamu,-2.2717,40.902,29.12,76,81,2.32,KE,1682317323
325,ponta delgada,37.7333,-25.6667,16.4,100,75,6.69,PT,1682317324
326,vanino,49.0869,140.2543,7.32,51,100,1.1,RU,1682317324
327,kailua-kona,19.6406,-155.9956,25.98,87,40,3.6,US,1682317263
328,bulolo,-7.2,146.65,27.8,76,91,1.35,PG,1682317325
329,coquimbo,-29.9533,-71.3436,15.66,86,8,1.89,CL,1682317325
330,acajutla,13.5928,-89.8275,27.4,78,75,1.58,SV,1682317326
331,pacific grove,36.6177,-121.9166,11.82,88,100,3.6,US,1682317260
332,nakonde,-9.3421,32.745,18.58,84,84,2.42,ZM,1682317326
333,hirara,24.8,125.2833,26.15,69,40,3.6,JP,1682317327
334,cill airne,52.05,-9.5167,6.62,91,86,2.92,IE,1682317327
335,lihue,21.9789,-159.3672,24.58,94,75,2.57,US,1682317327
336,yacuiba,-22.038,-63.6797,17.12,97,100,1.07,BO,1682317328
337,thames,-37.1333,175.5333,12.84,61,3,3.75,NZ,1682317328
338,gogrial,8.5332,28.1004,28.37,53,78,4.49,SS,1682317329
339,nar'yan-mar,67.6713,53.087,-4.04,88,17,7.76,RU,1682317329
340,saudarkrokur,65.7461,-19.6394,0.83,65,69,0.22,IS,1682317329
341,codrington,-38.2667,141.9667,23.04,42,0,1.97,AU,1682317329
342,champerico,14.3,-91.9167,28.22,68,15,3.77,GT,1682317330
343,claremore,36.3126,-95.6161,9.58,67,0,1.54,US,1682317330
344,inari,68.906,27.0288,-3.89,71,30,1.39,FI,1682317331
345,la passe,45.5549,-0.8967,12.21,81,77,4.02,FR,1682317331
346,karungdong,5.8844,121.263,29.75,69,93,1.17,PH,1682317332
347,ludington,43.9553,-86.4526,3.39,79,99,1.34,US,1682317332
348,richmond,37.5538,-77.4603,10.1,46,75,4.63,US,1682317332
349,sao vicente,-23.9631,-46.3919,23.32,26,20,1.81,BR,1682317333
350,yorkton,51.2167,-102.4677,-2.09,80,20,3.6,CA,1682317333
351,bathsheba,13.2167,-59.5167,24.34,94,20,1.03,BB,1682317333
352,borgo,46.0514,11.4544,11.34,82,100,1.0,IT,1682317333
353,chinde,26.8418,88.0763,22.22,47,49,2.57,NP,1682317334
354,catriel,-37.8791,-67.7956,15.77,55,0,6.15,AR,1682317334
355,antalaha,-14.9003,50.2788,27.93,71,32,0.92,MG,1682317334
356,plettenberg bay,-34.0527,23.3716,20.06,78,100,0.93,ZA,1682317335
357,kuantan,3.8077,103.326,34.06,62,40,3.09,MY,1682317335
358,holly springs,35.6513,-78.8336,14.79,82,97,3.47,US,1682317297
359,port saint john's,-31.6229,29.5448,21.43,52,98,3.0,ZA,1682317336
360,vallegrande,-18.4897,-64.1069,9.13,94,15,0.73,BO,1682317336
361,novyye lyady,58.0536,56.6039,9.58,54,100,1.4,RU,1682317336
362,beidaihehaibin,39.8222,119.5181,13.01,36,22,7.26,CN,1682317336
363,minas de marcona,-15.2119,-75.1103,17.26,84,0,3.52,PE,1682317337
